FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1699058693,161028879,MOUNT ST. MICHAEL CATHOLIC SCHOOL,School,4500 WEST DAVIS STREET,DALLAS,"	75211",2016,"$4,032.48 ","$2,016.24 ","$1,710.36 "
1699058714,161028881,ST ROSE OF LIMA SCHOOL,School,3600 BRINKMAN ST,HOUSTON,"	77018",2016,$0.00 ,$0.00 ,
1699058865,161028960,OUR LADY PERPETUAL HELP SCHOOL,School,7625 CORTLAND AVE,DALLAS,"	75235",2016,"$21,360.00 ","$19,224.00 ","$18,905.49 "
1699059185,161029082,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,School,2860 VIRGINIA PARKWAY,MCKINNEY,"	75071",2016,"$13,440.00 ","$5,376.00 ","$5,376.00 "
1699059187,161029082,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,School,2860 VIRGINIA PARKWAY,MCKINNEY,"	75071",2016,"$2,579.40 ",$0.00 ,
1699059391,161016493,BAIS MENACHEM,School,2127 PARMER LN,AUSTIN,"	78731",2016,"$21,600.00 ",$0.00 ,
1699059513,161029205,CATHEDRAL HIGH SCHOOL,School,1309 N STANTON ST,EL PASO,"	79902",2016,"$17,460.00 ","$6,984.00 ","$6,946.39 "
1699059743,161029270,ST ROSE OF LIMA SCHOOL,School,3600 BRINKMAN ST,HOUSTON,"	77018",2016,$743.04 ,$297.22 ,$297.22 
1699059744,161029270,ST ROSE OF LIMA SCHOOL,School,3600 BRINKMAN ST,HOUSTON,"	77018",2016,"$3,432.72 ","$1,373.09 ","$1,373.09 "
1699059748,161029271,ST THERESA ELEMENTARY SCHOOL,School,6622 HASKELL ST,HOUSTON,"	77007",2016,"$1,389.96 ",$555.98 ,$555.98 
1699059749,161029272,ST. THERESA ACADEMY,School,115 7TH ST,SUGAR LAND,"	77498",2016,"$1,901.76 ",$950.88 ,$950.88 
1699059796,161028299,CASTLE HILLS FIRST BAPT SCHOOL,School,2220 NW MILITARY HWY,SAN ANTONIO,"	78213",2016,"$10,139.88 ","$2,027.98 ",
1699060162,161029504,ACADEMY OF CAREERS AND TECHNOLOGIES,School,5300 HEATH ROAD,SAN ANTONIO,"	78250",2016,"$25,617.24 ",$0.00 ,
1699060366,161029504,ACADEMY OF CAREERS AND TECHNOLOGIES,School,5300 HEATH ROAD,SAN ANTONIO,"	78250",2016,"$23,948.67 ","$21,553.80 ",
1699061722,161030117,ACCELERATED INTERMEDIATE ACADEMY # 1 ELEMENTARY,School,12825 SUMMIT RIDGE DRIVE,HOUSTON,"	77085",2016,"$1,020.00 ",$918.00 ,$918.00 
1699061739,161030136,ST JOSEPH ACADEMY,School,101 SAINT JOSEPH DR,BROWNSVILLE,"	78520",2016,"$20,917.44 ","$8,366.98 ","$8,366.98 "
1699062087,161030297,BRAZOS RIVER CHARTER SCHOOL,School,PO BOX 949,NEMO,"	76070",2016,"$16,200.00 ","$12,960.00 ","$12,960.00 "
1699062120,161030297,BRAZOS RIVER CHARTER SCHOOL,School,PO BOX 949,NEMO,"	76070",2016,$780.00 ,$624.00 ,
1699062134,161030297,BRAZOS RIVER CHARTER SCHOOL,School,PO BOX 949,NEMO,"	76070",2016,"$1,379.88 ","$1,103.90 ","$1,103.90 "
1699062171,161030297,BRAZOS RIVER CHARTER SCHOOL,School,PO BOX 949,NEMO,"	76070",2016,$780.00 ,$624.00 ,$624.00 
